REGION,FUEL,YEAR,VALUE
GLOBAL,ELCARGXX01,2021,1
GLOBAL,ELCARGXX01,2022,1
GLOBAL,ELCARGXX01,2023,1
GLOBAL,ELCARGXX01,2024,1
GLOBAL,ELCARGXX01,2025,1
GLOBAL,ELCARGXX01,2026,1
GLOBAL,ELCARGXX01,2027,1
GLOBAL,ELCARGXX01,2028,1
GLOBAL,ELCARGXX01,2029,1
GLOBAL,ELCARGXX01,2030,1
GLOBAL,ELCARGXX01,2031,1
GLOBAL,ELCARGXX01,2032,1
GLOBAL,ELCARGXX01,2033,1
GLOBAL,ELCARGXX01,2034,1
GLOBAL,ELCARGXX01,2035,1
GLOBAL,ELCARGXX01,2036,1
GLOBAL,ELCARGXX01,2037,1
GLOBAL,ELCARGXX01,2038,1
GLOBAL,ELCARGXX01,2039,1
GLOBAL,ELCARGXX01,2040,1
GLOBAL,ELCARGXX01,2041,1
GLOBAL,ELCARGXX01,2042,1
GLOBAL,ELCARGXX01,2043,1
GLOBAL,ELCARGXX01,2044,1
GLOBAL,ELCARGXX01,2045,1
GLOBAL,ELCARGXX01,2046,1
GLOBAL,ELCARGXX01,2047,1
GLOBAL,ELCARGXX01,2048,1
GLOBAL,ELCARGXX01,2049,1
GLOBAL,ELCARGXX01,2050,1
GLOBAL,ELCBOLXX01,2021,1
GLOBAL,ELCBOLXX01,2022,1
GLOBAL,ELCBOLXX01,2023,1
GLOBAL,ELCBOLXX01,2024,1
GLOBAL,ELCBOLXX01,2025,1
GLOBAL,ELCBOLXX01,2026,1
GLOBAL,ELCBOLXX01,2027,1
GLOBAL,ELCBOLXX01,2028,1
GLOBAL,ELCBOLXX01,2029,1
GLOBAL,ELCBOLXX01,2030,1
GLOBAL,ELCBOLXX01,2031,1
GLOBAL,ELCBOLXX01,2032,1
GLOBAL,ELCBOLXX01,2033,1
GLOBAL,ELCBOLXX01,2034,1
GLOBAL,ELCBOLXX01,2035,1
GLOBAL,ELCBOLXX01,2036,1
GLOBAL,ELCBOLXX01,2037,1
GLOBAL,ELCBOLXX01,2038,1
GLOBAL,ELCBOLXX01,2039,1
GLOBAL,ELCBOLXX01,2040,1
GLOBAL,ELCBOLXX01,2041,1
GLOBAL,ELCBOLXX01,2042,1
GLOBAL,ELCBOLXX01,2043,1
GLOBAL,ELCBOLXX01,2044,1
GLOBAL,ELCBOLXX01,2045,1
GLOBAL,ELCBOLXX01,2046,1
GLOBAL,ELCBOLXX01,2047,1
GLOBAL,ELCBOLXX01,2048,1
GLOBAL,ELCBOLXX01,2049,1
GLOBAL,ELCBOLXX01,2050,1
GLOBAL,ELCBRACN01,2021,1
GLOBAL,ELCBRACN01,2022,1
GLOBAL,ELCBRACN01,2023,1
GLOBAL,ELCBRACN01,2024,1
GLOBAL,ELCBRACN01,2025,1
GLOBAL,ELCBRACN01,2026,1
GLOBAL,ELCBRACN01,2027,1
GLOBAL,ELCBRACN01,2028,1
GLOBAL,ELCBRACN01,2029,1
GLOBAL,ELCBRACN01,2030,1
GLOBAL,ELCBRACN01,2031,1
GLOBAL,ELCBRACN01,2032,1
GLOBAL,ELCBRACN01,2033,1
GLOBAL,ELCBRACN01,2034,1
GLOBAL,ELCBRACN01,2035,1
GLOBAL,ELCBRACN01,2036,1
GLOBAL,ELCBRACN01,2037,1
GLOBAL,ELCBRACN01,2038,1
GLOBAL,ELCBRACN01,2039,1
GLOBAL,ELCBRACN01,2040,1
GLOBAL,ELCBRACN01,2041,1
GLOBAL,ELCBRACN01,2042,1
GLOBAL,ELCBRACN01,2043,1
GLOBAL,ELCBRACN01,2044,1
GLOBAL,ELCBRACN01,2045,1
GLOBAL,ELCBRACN01,2046,1
GLOBAL,ELCBRACN01,2047,1
GLOBAL,ELCBRACN01,2048,1
GLOBAL,ELCBRACN01,2049,1
GLOBAL,ELCBRACN01,2050,1
GLOBAL,ELCBRACW01,2021,1
GLOBAL,ELCBRACW01,2022,1
GLOBAL,ELCBRACW01,2023,1
GLOBAL,ELCBRACW01,2024,1
GLOBAL,ELCBRACW01,2025,1
GLOBAL,ELCBRACW01,2026,1
GLOBAL,ELCBRACW01,2027,1
GLOBAL,ELCBRACW01,2028,1
GLOBAL,ELCBRACW01,2029,1
GLOBAL,ELCBRACW01,2030,1
GLOBAL,ELCBRACW01,2031,1
GLOBAL,ELCBRACW01,2032,1
GLOBAL,ELCBRACW01,2033,1
GLOBAL,ELCBRACW01,2034,1
GLOBAL,ELCBRACW01,2035,1
GLOBAL,ELCBRACW01,2036,1
GLOBAL,ELCBRACW01,2037,1
GLOBAL,ELCBRACW01,2038,1
GLOBAL,ELCBRACW01,2039,1
GLOBAL,ELCBRACW01,2040,1
GLOBAL,ELCBRACW01,2041,1
GLOBAL,ELCBRACW01,2042,1
GLOBAL,ELCBRACW01,2043,1
GLOBAL,ELCBRACW01,2044,1
GLOBAL,ELCBRACW01,2045,1
GLOBAL,ELCBRACW01,2046,1
GLOBAL,ELCBRACW01,2047,1
GLOBAL,ELCBRACW01,2048,1
GLOBAL,ELCBRACW01,2049,1
GLOBAL,ELCBRACW01,2050,1
GLOBAL,ELCBRANE01,2021,1
GLOBAL,ELCBRANE01,2022,1
GLOBAL,ELCBRANE01,2023,1
GLOBAL,ELCBRANE01,2024,1
GLOBAL,ELCBRANE01,2025,1
GLOBAL,ELCBRANE01,2026,1
GLOBAL,ELCBRANE01,2027,1
GLOBAL,ELCBRANE01,2028,1
GLOBAL,ELCBRANE01,2029,1
