REGION,STORAGE,YEAR,VALUE
GLOBAL,LDSARGXX01,2021.0,0.03506
GLOBAL,LDSARGXX01,2022.0,0.03506
GLOBAL,LDSARGXX01,2023.0,0.03506
GLOBAL,LDSARGXX01,2024.0,0.03506
GLOBAL,LDSARGXX01,2025.0,0.03506
GLOBAL,LDSARGXX01,2026.0,0.03506
GLOBAL,LDSARGXX01,2027.0,0.03506
GLOBAL,LDSARGXX01,2028.0,0.03506
GLOBAL,LDSARGXX01,2029.0,0.03506
GLOBAL,LDSARGXX01,2030.0,0.03506
GLOBAL,LDSARGXX01,2031.0,0.03506
GLOBAL,LDSARGXX01,2032.0,0.03506
GLOBAL,LDSARGXX01,2033.0,0.03506
GLOBAL,LDSARGXX01,2034.0,0.03506
GLOBAL,LDSARGXX01,2035.0,0.03506
GLOBAL,LDSARGXX01,2036.0,0.03506
GLOBAL,LDSARGXX01,2037.0,0.03506
GLOBAL,LDSARGXX01,2038.0,0.03506
GLOBAL,LDSARGXX01,2039.0,0.03506
GLOBAL,LDSARGXX01,2040.0,0.03506
GLOBAL,LDSARGXX01,2041.0,0.03506
GLOBAL,LDSARGXX01,2042.0,0.03506
GLOBAL,LDSARGXX01,2043.0,0.03506
GLOBAL,LDSARGXX01,2044.0,0.027
GLOBAL,LDSARGXX01,2045.0,0.027
GLOBAL,LDSARGXX01,2046.0,0.0
GLOBAL,LDSARGXX01,2047.0,0.0
GLOBAL,LDSARGXX01,2048.0,0.0
GLOBAL,LDSARGXX01,2049.0,0.0
GLOBAL,LDSARGXX01,2050.0,0.0
GLOBAL,LDSBRASE01,2021.0,0.00072
GLOBAL,LDSBRASE01,2022.0,0.00072
GLOBAL,LDSBRASE01,2023.0,0.00072
GLOBAL,LDSBRASE01,2024.0,0.00072
GLOBAL,LDSBRASE01,2025.0,0.00072
GLOBAL,LDSBRASE01,2026.0,0.00072
GLOBAL,LDSBRASE01,2027.0,0.00072
GLOBAL,LDSBRASE01,2028.0,0.00072
GLOBAL,LDSBRASE01,2029.0,0.00072
GLOBAL,LDSBRASE01,2030.0,0.00072
GLOBAL,LDSBRASE01,2031.0,0.00072
GLOBAL,LDSBRASE01,2032.0,0.00072
GLOBAL,LDSBRASE01,2033.0,0.00072
GLOBAL,LDSBRASE01,2034.0,0.00072
GLOBAL,LDSBRASE01,2035.0,0.00072
GLOBAL,LDSBRASE01,2036.0,0.00072
GLOBAL,LDSBRASE01,2037.0,0.00072
GLOBAL,LDSBRASE01,2038.0,0.00072
GLOBAL,LDSBRASE01,2039.0,0.00072
GLOBAL,LDSBRASE01,2040.0,0.00072
GLOBAL,LDSBRASE01,2041.0,0.00072
GLOBAL,LDSBRASE01,2042.0,0.00072
GLOBAL,LDSBRASE01,2043.0,0.0
GLOBAL,LDSBRASE01,2044.0,0.0
GLOBAL,LDSBRASE01,2045.0,0.0
