,YEAR,TECHNOLOGY,TIMESLICE,FUEL,EMISSION,MODE_OF_OPERATION,REGION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedCostByTechnology,DiscountedOperationalCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
0,2021.0,MINGASINT,S1D1,GASINT,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,0.20992402,,,,,,,,,
1,2021.0,MINGASINT,S1D1,GASINT,,,GLOBAL,,,,,,,,,,,,,,,,0.0262405025,,,0.20992402,,,,,,,,,,
2,2021.0,MINGASINT,S1D1,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,0.20992402,,,,,,0.0262405025,,,,,
3,2021.0,MINGASINT,,GASINT,,,GLOBAL,,,,,,,,,,,,,,,,,0.0262405025,,,,,,,,,,,,
4,2021.0,MINGASINT,,,,,GLOBAL,,,,,,0.3233354718049999,0.00020992402,,0.00020992402,0.3084982001621404,0.3082882761421404,,,0.20992402,0.32333547,,,,,,,,,,0.20992402,,0.0262405025,,
5,2021.0,MINOILINT,S1D1,OILINT,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,0.65189317,,,,,,,,,
6,2021.0,MINOILINT,S1D1,OILINT,,,GLOBAL,,,,,,,,,,,,,,,,0.08148664625,,,0.65189317,,,,,,,,,,
7,2021.0,MINOILINT,S1D1,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,0.65189317,,,,,,0.08148664625,,,,,
8,2021.0,MINOILINT,,OILINT,,,GLOBAL,,,,,,,,,,,,,,,,,0.08148664625,,,,,,,,,,,,
9,2021.0,MINOILINT,,,,,GLOBAL,,,,,,1.4297646951025,0.00065189317,,0.00065189317,1.3638790413743644,1.3632271482043643,,,0.65189317,1.4297647,,,,,,,,,,0.65189317,,0.08148664625,,
10,2021.0,PWRBIOCRIXX01,S1D1,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,
11,2021.0,PWRBIOCRIXX01,S1D1,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,,0.5676479999999999
