,YEAR,TECHNOLOGY,TIMESLICE,FUEL,EMISSION,MODE_OF_OPERATION,REGION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedCostByTechnology,DiscountedOperationalCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
0,2021.0,MINGASINT,S1D1,GASINT,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,11.097977,,,,,,,,,
1,2021.0,MINGASINT,S1D1,GASINT,,,GLOBAL,,,,,,,,,,,,,,,,0.4627856409,,,11.097977,,,,,,,,,,
2,2021.0,MINGASINT,S1D1,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,11.097977,,,,,,0.4627856409,,,,,
3,2021.0,MINGASINT,S1D12,GASINT,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,8.2007688,,,,,,,,,
4,2021.0,MINGASINT,S1D12,GASINT,,,GLOBAL,,,,,,,,,,,,,,,,0.34197205896,,,8.2007688,,,,,,,,,,
5,2021.0,MINGASINT,S1D12,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,8.2007688,,,,,,0.34197205896,,,,,
6,2021.0,MINGASINT,S1D13,GASINT,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,8.8722668,,,,,,,,,
7,2021.0,MINGASINT,S1D13,GASINT,,,GLOBAL,,,,,,,,,,,,,,,,0.36997352556,,,8.8722668,,,,,,,,,,
8,2021.0,MINGASINT,S1D13,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,8.8722668,,,,,,0.36997352556,,,,,
9,2021.0,MINGASINT,,GASINT,,,GLOBAL,,,,,,,,,,,,,,,,,1.17473122542,,,,,,,,,,,,
10,2021.0,MINGASINT,,,,,GLOBAL,,,,,,14.47503815962524,0.011097977,,0.011097977,13.812505340105036,13.801407363105035,,,11.097977,14.475038,,,,,,,,,,11.097977,,1.17473122542,,
11,2021.0,MINOILINT,S1D1,OILINT,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,0.92499032,,,,,,,,,
12,2021.0,MINOILINT,S1D1,OILINT,,,GLOBAL,,,,,,,,,,,,,,,,0.038572096344,,,0.92499032,,,,,,,,,,
13,2021.0,MINOILINT,S1D1,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,0.92499032,,,,,,0.038572096344,,,,,
14,2021.0,MINOILINT,,OILINT,,,GLOBAL,,,,,,,,,,,,,,,,,0.038572096344,,,,,,,,,,,,
15,2021.0,MINOILINT,,,,,GLOBAL,,,,,,0.676786002451824,0.00092499032,,0.00092499032,0.6462151245828899,0.6452901342628898,,,0.92499032,0.676786,,,,,,,,,,0.92499032,,0.038572096344,,
16,2021.0,PWRBIOCRIXX01,S1D1,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,
17,2021.0,PWRBIOCRIXX01,S1D1,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,,0.1893673728
18,2021.0,PWRBIOCRIXX01,S1D1,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.26144,,,,,,,,,
19,2021.0,PWRBIOCRIXX01,S1D1,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.052602048,,,1.26144,,,,,,,,,,
20,2021.0,PWRBIOCRIXX01,S1D1,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.26144,,,,,,0.052602048,,,,,
21,2021.0,PWRBIOCRIXX01,S1D11,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,
22,2021.0,PWRBIOCRIXX01,S1D11,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,,0.3782806271999999
23,2021.0,PWRBIOCRIXX01,S1D11,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.26144,,,,,,,,,
24,2021.0,PWRBIOCRIXX01,S1D11,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.1050779519999999,,,1.26144,,,,,,,,,,
25,2021.0,PWRBIOCRIXX01,S1D11,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.26144,,,,,,0.1050779519999999,,,,,
26,2021.0,PWRBIOCRIXX01,S1D12,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,
27,2021.0,PWRBIOCRIXX01,S1D12,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,,0.1893673728
28,2021.0,PWRBIOCRIXX01,S1D12,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.26144,,,,,,,,,
29,2021.0,PWRBIOCRIXX01,S1D12,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.052602048,,,1.26144,,,,,,,,,,
30,2021.0,PWRBIOCRIXX01,S1D12,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.26144,,,,,,0.052602048,,,,,
31,2021.0,PWRBIOCRIXX01,S1D13,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,
32,2021.0,PWRBIOCRIXX01,S1D13,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,,0.1893673728
33,2021.0,PWRBIOCRIXX01,S1D13,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.26144,,,,,,,,,
34,2021.0,PWRBIOCRIXX01,S1D13,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.052602048,,,1.26144,,,,,,,,,,
35,2021.0,PWRBIOCRIXX01,S1D13,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.26144,,,,,,0.052602048,,,,,
36,2021.0,PWRBIOCRIXX01,S1D14,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,
37,2021.0,PWRBIOCRIXX01,S1D14,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,4.541183999999999,,,,,,,,0.3782806271999999
38,2021.0,PWRBIOCRIXX01,S1D14,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.26144,,,,,,,,,
39,2021.0,PWRBIOCRIXX01,S1D14,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.1050779519999999,,,1.26144,,,,,,,,,,
40,2021.0,PWRBIOCRIXX01,S1D14,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.26144,,,,,,0.1050779519999999,,,,,
