,YEAR,TECHNOLOGY,TIMESLICE,FUEL,EMISSION,MODE_OF_OPERATION,REGION,AccumulatedNewCapacity,AnnualEmissions,AnnualFixedOperatingCost,AnnualTechnologyEmission,AnnualTechnologyEmissionByMode,AnnualVariableOperatingCost,CapitalInvestment,Demand,DiscountedCapitalInvestment,DiscountedCostByTechnology,DiscountedOperationalCost,DiscountedSalvageValue,DiscountedTechnologyEmissionsPenalty,NewCapacity,OperatingCost,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfActivity,RateOfProductionByTechnology,RateOfProductionByTechnologyByMode,RateOfUseByTechnology,RateOfUseByTechnologyByMode,SalvageValue,TotalAnnualTechnologyActivityByMode,TotalCapacityAnnual,TotalDiscountedCost,TotalTechnologyAnnualActivity,TotalTechnologyModelPeriodActivity,UseByTechnology
0,2021.0,PWRBIOCRIXX01,S1D1,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,
1,2021.0,PWRBIOCRIXX01,S1D1,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,,0.331262262072
2,2021.0,PWRBIOCRIXX01,S1D1,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.1046494,,,,,,,,,
3,2021.0,PWRBIOCRIXX01,S1D1,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.09201729502,,,1.1046494,,,,,,,,,,
4,2021.0,PWRBIOCRIXX01,S1D1,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.1046494,,,,,,0.09201729502,,,,,
5,2021.0,PWRBIOCRIXX01,S1D10,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,
6,2021.0,PWRBIOCRIXX01,S1D10,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,,0.331262262072
7,2021.0,PWRBIOCRIXX01,S1D10,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.1046494,,,,,,,,,
8,2021.0,PWRBIOCRIXX01,S1D10,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.09201729502,,,1.1046494,,,,,,,,,,
9,2021.0,PWRBIOCRIXX01,S1D10,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.1046494,,,,,,0.09201729502,,,,,
10,2021.0,PWRBIOCRIXX01,S1D11,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,
11,2021.0,PWRBIOCRIXX01,S1D11,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,,0.331262262072
12,2021.0,PWRBIOCRIXX01,S1D11,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.1046494,,,,,,,,,
13,2021.0,PWRBIOCRIXX01,S1D11,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.09201729502,,,1.1046494,,,,,,,,,,
14,2021.0,PWRBIOCRIXX01,S1D11,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.1046494,,,,,,0.09201729502,,,,,
15,2021.0,PWRBIOCRIXX01,S1D13,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,
16,2021.0,PWRBIOCRIXX01,S1D13,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,,0.331262262072
17,2021.0,PWRBIOCRIXX01,S1D13,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.1046494,,,,,,,,,
18,2021.0,PWRBIOCRIXX01,S1D13,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.09201729502,,,1.1046494,,,,,,,,,,
19,2021.0,PWRBIOCRIXX01,S1D13,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.1046494,,,,,,0.09201729502,,,,,
20,2021.0,PWRBIOCRIXX01,S1D15,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,
21,2021.0,PWRBIOCRIXX01,S1D15,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,,0.331262262072
22,2021.0,PWRBIOCRIXX01,S1D15,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.1046494,,,,,,,,,
23,2021.0,PWRBIOCRIXX01,S1D15,ELCCRIXX01,,,GLOBAL,,,,,,,,,,,,,,,,0.09201729502,,,1.1046494,,,,,,,,,,
24,2021.0,PWRBIOCRIXX01,S1D15,,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,1.1046494,,,,,,0.09201729502,,,,,
25,2021.0,PWRBIOCRIXX01,S1D3,BIOCRIXX,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,
26,2021.0,PWRBIOCRIXX01,S1D3,BIOCRIXX,,,GLOBAL,,,,,,,,,,,,,,,,,,,,,3.97673784,,,,,,,,0.331262262072
27,2021.0,PWRBIOCRIXX01,S1D3,ELCCRIXX01,,1.0,GLOBAL,,,,,,,,,,,,,,,,,,,,1.1046494,,,,,,,,,
