REGION,TECHNOLOGY,FUEL,MODE_OF_OPERATION,YEAR,TIMESLICE,VALUE
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2021,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2021,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2022,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2022,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2023,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2023,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2024,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2024,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2025,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2025,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2026,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2026,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2027,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2027,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2028,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2028,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2029,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2029,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2030,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2030,S1D1,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2031,S1D2,2.2705919999999997
GLOBAL,PWRBIOCRIXX01,BIOCRIXX,1,2031,S1D1,2.2705919999999997
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2021,S1D2,6.1589808
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2021,S1D1,6.1589808
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2022,S1D2,6.4460067
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2022,S1D1,5.8719549
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2023,S1D2,6.843312
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2023,S1D1,5.4746496
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2024,S1D2,6.843312
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2024,S1D1,5.4746496
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2025,S1D2,6.843312
GLOBAL,PWRGEOCRIXX01,GEOCRIXX,1,2025,S1D1,5.4746496
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2021,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2021,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2022,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2022,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2023,S1D2,29.17221
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2023,S1D1,27.739724
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2024,S1D2,28.852495
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2024,S1D1,28.059439
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2025,S1D2,28.531384
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2025,S1D1,28.380551
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2026,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2026,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2027,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2027,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2028,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2028,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2029,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2029,S1D1,25.294193
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2030,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2030,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2031,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2031,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2032,S1D2,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2032,S1D1,28.455967
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2033,S1D2,31.617741
GLOBAL,PWRHYDCRIXX01,HYDCRIXX,1,2033,S1D1,25.294193
