REGION,EMISSION,YEAR,VALUE
GLOBAL,CO2CRI,2021,0.0
GLOBAL,CO2CRI,2022,0.0
GLOBAL,CO2CRI,2023,0.0
GLOBAL,CO2CRI,2024,0.0
GLOBAL,CO2CRI,2025,0.0
GLOBAL,CO2CRI,2026,0.0
GLOBAL,CO2CRI,2027,0.0
GLOBAL,CO2CRI,2028,0.0
GLOBAL,CO2CRI,2029,0.0
GLOBAL,CO2CRI,2030,0.0
GLOBAL,CO2CRI,2031,0.0
GLOBAL,CO2CRI,2032,0.0
GLOBAL,CO2CRI,2033,0.0
GLOBAL,CO2CRI,2034,0.0
GLOBAL,CO2CRI,2035,0.0
GLOBAL,CO2CRI,2036,0.0
GLOBAL,CO2CRI,2037,0.0
GLOBAL,CO2CRI,2038,0.0
GLOBAL,CO2CRI,2039,0.0
GLOBAL,CO2CRI,2040,0.0
GLOBAL,CO2CRI,2041,0.0
GLOBAL,CO2CRI,2042,0.0
GLOBAL,CO2CRI,2043,0.0
GLOBAL,CO2CRI,2044,0.0
GLOBAL,CO2CRI,2045,0.0
GLOBAL,CO2CRI,2046,0.0
GLOBAL,CO2CRI,2047,0.0
GLOBAL,CO2CRI,2048,0.0
GLOBAL,CO2CRI,2049,0.0
GLOBAL,CO2CRI,2050,0.0
