REGION,TIMESLICE,TECHNOLOGY,FUEL,YEAR,VALUE
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2021,5.4705062
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2022,7.864332
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2023,7.9321062
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2024,9.719191
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2025,11.51408
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2026,19.397313
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2027,25.052287
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2028,24.374513
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2029,30.029487
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2030,29.360913
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2031,32.084113
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2032,35.438033
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2033,41.323007
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2034,44.046207
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2035,46.769407
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2036,46.689633
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2037,49.771633
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2038,52.844433
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2039,59.088207
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2040,62.170207
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2041,65.519007
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2042,65.715233
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2043,72.225807
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2044,75.574607
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2045,78.932607
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2046,82.465407
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2047,85.989007
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2048,89.521807
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2049,93.054607
GLOBAL,S1D1,PWRWONCRIXX01,ELCCRIXX01,2050,93.416433
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2021,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2022,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2023,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2024,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2025,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2026,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2027,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2028,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2029,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2030,2.270592
GLOBAL,S1D1,RNWBIOCRIXX,BIOCRIXX,2031,2.270592
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2021,6.1589808
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2022,5.8719549
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2023,5.4746496
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2024,5.4746496
GLOBAL,S1D1,RNWGEOCRIXX,GEOCRIXX,2025,5.4746496
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2021,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2022,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2023,27.739724
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2024,28.059439
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2025,28.380551
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2026,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2027,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2028,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2029,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2030,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2031,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2032,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2033,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2034,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2035,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2036,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2037,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2038,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2039,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2040,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2041,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2042,28.455967
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2043,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2044,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2045,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2046,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2047,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2048,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2049,25.294193
GLOBAL,S1D1,RNWHYDCRIXX,HYDCRIXX,2050,28.455967
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2021,5.4705062
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2022,7.864332
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2023,7.9321062
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2024,9.719191
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2025,11.51408
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2026,19.397313
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2027,25.052287
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2028,24.374513
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2029,30.029487
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2030,29.360913
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2031,32.084113
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2032,35.438033
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2033,41.323007
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2034,44.046207
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2035,46.769407
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2036,46.689633
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2037,49.771633
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2038,52.844433
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2039,59.088207
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2040,62.170207
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2041,65.519007
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2042,65.715233
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2043,72.225807
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2044,75.574607
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2045,78.932607
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2046,82.465407
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2047,85.989007
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2048,89.521807
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2049,93.054607
GLOBAL,S1D1,RNWWONCRIXX,WONCRIXX,2050,93.416433
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2021,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2022,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2023,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2024,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2025,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2026,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2027,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2028,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2029,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2030,0.63072
GLOBAL,S1D2,PWRBIOCRIXX01,ELCCRIXX01,2031,0.63072
GLOBAL,S1D2,PWRGEOCRIXX01,ELCCRIXX01,2021,6.1589808
GLOBAL,S1D2,PWRGEOCRIXX01,ELCCRIXX01,2022,6.4460067
GLOBAL,S1D2,PWRGEOCRIXX01,ELCCRIXX01,2023,6.843312
GLOBAL,S1D2,PWRGEOCRIXX01,ELCCRIXX01,2024,6.843312
GLOBAL,S1D2,PWRGEOCRIXX01,ELCCRIXX01,2025,6.843312
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2021,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2022,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2023,29.17221
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2024,28.852495
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2025,28.531384
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2026,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2027,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2028,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2029,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2030,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2031,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2032,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2033,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2034,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2035,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2036,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2037,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2038,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2039,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2040,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2041,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2042,28.455967
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2043,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2044,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2045,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2046,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2047,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2048,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2049,31.617741
GLOBAL,S1D2,PWRHYDCRIXX01,ELCCRIXX01,2050,28.455967
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2021,44.0856
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2022,46.5588
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2023,49.0428
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2024,51.516
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2025,54.0
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2026,56.916
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2027,59.8428
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2028,62.7588
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2029,65.6856
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2030,68.6124
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2031,71.8092
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2032,75.006
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2033,78.2028
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2034,81.3996
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2035,84.5964
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2036,88.2144
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2037,91.8324
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2038,95.4396
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2039,99.0576
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2040,102.6756
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2041,106.6068
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2042,110.5488
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2043,114.48
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2044,118.4112
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2045,122.3532
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2046,126.5004
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2047,130.6368
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2048,134.784
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2049,138.9312
GLOBAL,S1D2,PWRTRNCRIXX,ELCCRIXX02,2050,143.0676
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2021,5.6781579
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2022,7.864332
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2023,12.396558
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2024,15.189473
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2025,17.994584
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2026,27.829313
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2027,27.594339
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2028,33.672113
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2029,33.437139
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2030,39.525713
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2031,42.722513
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2032,46.550033
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2033,46.585059
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2034,49.781859
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2035,52.978659
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2036,59.758433
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2037,63.376433
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2038,66.983633
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2039,67.439859
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2040,71.057859
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2041,74.989059
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2042,82.092833
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2043,82.862259
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2044,86.793459
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2045,90.735459
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2046,94.882659
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2047,99.019059
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2048,103.16626
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2049,107.31346
GLOBAL,S1D2,PWRWONCRIXX01,ELCCRIXX01,2050,114.61163
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2021,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2022,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2023,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2024,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2025,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2026,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2027,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2028,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2029,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2030,2.270592
GLOBAL,S1D2,RNWBIOCRIXX,BIOCRIXX,2031,2.270592
GLOBAL,S1D2,RNWGEOCRIXX,GEOCRIXX,2021,6.1589808
GLOBAL,S1D2,RNWGEOCRIXX,GEOCRIXX,2022,6.4460067
GLOBAL,S1D2,RNWGEOCRIXX,GEOCRIXX,2023,6.843312
GLOBAL,S1D2,RNWGEOCRIXX,GEOCRIXX,2024,6.843312
GLOBAL,S1D2,RNWGEOCRIXX,GEOCRIXX,2025,6.843312
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2021,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2022,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2023,29.17221
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2024,28.852495
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2025,28.531384
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2026,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2027,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2028,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2029,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2030,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2031,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2032,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2033,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2034,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2035,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2036,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2037,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2038,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2039,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2040,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2041,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2042,28.455967
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2043,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2044,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2045,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2046,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2047,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2048,31.617741
GLOBAL,S1D2,RNWHYDCRIXX,HYDCRIXX,2049,31.617741
