REGION,TECHNOLOGY,VALUE
GLOBAL,PWRCSPBRAXX01,30.0
GLOBAL,PWRCSPCHLXX01,30.0
GLOBAL,PWRCSPCOLXX01,30.0
GLOBAL,PWRCSPCRIXX01,30.0
GLOBAL,PWRCSPDOMXX01,30.0
GLOBAL,PWRCSPECUXX01,30.0
GLOBAL,PWRCSPGTMXX01,30.0
GLOBAL,PWRCSPHNDXX01,30.0
GLOBAL,PWRCSPHTIXX01,30.0
GLOBAL,PWRCSPJAMXX01,30.0
GLOBAL,PWRCSPMEXXX01,30.0
GLOBAL,PWRCSPNICXX01,30.0
GLOBAL,PWRCSPPANXX01,30.0
GLOBAL,PWRCSPPERXX01,30.0
GLOBAL,PWRCSPPRYXX01,30.0
GLOBAL,PWRCSPSLVXX01,30.0
GLOBAL,PWRCSPURYXX01,30.0
GLOBAL,PWRGEOARGXX01,30.0
GLOBAL,PWRGEOBOLXX01,30.0
GLOBAL,PWRGEOBRAXX01,30.0
GLOBAL,PWRGEOCHLXX01,30.0
GLOBAL,PWRGEOCOLXX01,30.0
GLOBAL,PWRGEOCRIXX01,30.0
GLOBAL,PWRGEODOMXX01,30.0
GLOBAL,PWRGEOECUXX01,30.0
GLOBAL,PWRGEOGTMXX01,30.0
GLOBAL,PWRGEOHNDXX01,30.0
GLOBAL,PWRGEOHTIXX01,30.0
GLOBAL,PWRGEOJAMXX01,30.0
GLOBAL,PWRGEOMEXXX01,30.0
GLOBAL,PWRGEONICXX01,30.0
GLOBAL,PWRGEOPANXX01,30.0
GLOBAL,PWRGEOPERXX01,30.0
GLOBAL,PWRGEOPRYXX01,30.0
GLOBAL,PWRGEOSLVXX01,30.0
GLOBAL,PWRGEOURYXX01,30.0
GLOBAL,PWRHYDARGXX01,100.0
GLOBAL,PWRHYDBOLXX01,100.0
GLOBAL,PWRHYDBRAXX01,100.0
GLOBAL,PWRHYDCHLXX01,100.0
GLOBAL,PWRHYDCOLXX01,100.0
GLOBAL,PWRHYDCRIXX01,100.0
GLOBAL,PWRHYDDOMXX01,100.0
GLOBAL,PWRHYDECUXX01,100.0
GLOBAL,PWRHYDGTMXX01,100.0
GLOBAL,PWRHYDHNDXX01,100.0
GLOBAL,PWRHYDHTIXX01,100.0
GLOBAL,PWRHYDJAMXX01,100.0
GLOBAL,PWRHYDMEXXX01,100.0
GLOBAL,PWRHYDNICXX01,100.0
GLOBAL,PWRHYDPANXX01,100.0
GLOBAL,PWRHYDPERXX01,100.0
GLOBAL,PWRHYDPRYXX01,100.0
GLOBAL,PWRHYDSLVXX01,100.0
GLOBAL,PWRHYDURYXX01,100.0
GLOBAL,PWRLDSARGXX01,60.0
GLOBAL,PWRLDSBOLXX01,60.0
GLOBAL,PWRLDSBRAXX01,60.0
GLOBAL,PWRLDSCHLXX01,60.0
GLOBAL,PWRLDSCOLXX01,60.0
GLOBAL,PWRLDSCRIXX01,60.0
GLOBAL,PWRLDSDOMXX01,60.0
GLOBAL,PWRLDSECUXX01,60.0
GLOBAL,PWRLDSGTMXX01,60.0
GLOBAL,PWRLDSHNDXX01,60.0
GLOBAL,PWRLDSHTIXX01,60.0
GLOBAL,PWRLDSJAMXX01,60.0
GLOBAL,PWRLDSMEXXX01,60.0
GLOBAL,PWRLDSNICXX01,60.0
GLOBAL,PWRLDSPANXX01,60.0
GLOBAL,PWRLDSPERXX01,60.0
GLOBAL,PWRLDSPRYXX01,60.0
GLOBAL,PWRLDSSLVXX01,60.0
GLOBAL,PWRLDSURYXX01,60.0
GLOBAL,PWROCGARGXX00,30.0
GLOBAL,PWROCGARGXX01,30.0
GLOBAL,PWROCGBOLXX00,30.0
GLOBAL,PWROCGBOLXX01,30.0
GLOBAL,PWROCGBRAXX00,30.0
GLOBAL,PWROCGBRAXX01,30.0
GLOBAL,PWROCGCHLXX00,30.0
GLOBAL,PWROCGCHLXX01,30.0
GLOBAL,PWROCGCOLXX00,30.0
GLOBAL,PWROCGCOLXX01,30.0
GLOBAL,PWROCGCRIXX00,30.0
GLOBAL,PWROCGCRIXX01,30.0
GLOBAL,PWROCGDOMXX00,30.0
GLOBAL,PWROCGDOMXX01,30.0
GLOBAL,PWROCGECUXX00,30.0
GLOBAL,PWROCGECUXX01,30.0
GLOBAL,PWROCGGTMXX00,30.0
GLOBAL,PWROCGGTMXX01,30.0
GLOBAL,PWROCGHNDXX00,30.0
GLOBAL,PWROCGHNDXX01,30.0
GLOBAL,PWROCGHTIXX00,30.0
GLOBAL,PWROCGHTIXX01,30.0
GLOBAL,PWROCGJAMXX00,30.0
GLOBAL,PWROCGJAMXX01,30.0
GLOBAL,PWROCGMEXXX00,30.0
GLOBAL,PWROCGMEXXX01,30.0
GLOBAL,PWROCGNICXX00,30.0
GLOBAL,PWROCGNICXX01,30.0
GLOBAL,PWROCGPANXX00,30.0
GLOBAL,PWROCGPANXX01,30.0
GLOBAL,PWROCGPERXX00,30.0
GLOBAL,PWROCGPERXX01,30.0
GLOBAL,PWROCGPRYXX00,30.0
GLOBAL,PWROCGPRYXX01,30.0
GLOBAL,PWROCGSLVXX00,30.0
GLOBAL,PWROCGSLVXX01,30.0
GLOBAL,PWROCGURYXX00,30.0
GLOBAL,PWROCGURYXX01,30.0
GLOBAL,PWROILARGXX01,30.0
GLOBAL,PWROILBOLXX01,30.0
GLOBAL,PWROILBRAXX01,30.0
GLOBAL,PWROILCHLXX01,30.0
GLOBAL,PWROILCOLXX01,30.0
GLOBAL,PWROILCRIXX01,30.0
GLOBAL,PWROILDOMXX01,30.0
GLOBAL,PWROILECUXX01,30.0
GLOBAL,PWROILGTMXX01,30.0
GLOBAL,PWROILHNDXX01,30.0
GLOBAL,PWROILHTIXX01,30.0
GLOBAL,PWROILJAMXX01,30.0
GLOBAL,PWROILMEXXX01,30.0
GLOBAL,PWROILNICXX01,30.0
GLOBAL,PWROILPANXX01,30.0
GLOBAL,PWROILPERXX01,30.0
GLOBAL,PWROILPRYXX01,30.0
GLOBAL,PWROILSLVXX01,30.0
GLOBAL,PWROILURYXX01,30.0
GLOBAL,PWROTHARGXX01,30.0
GLOBAL,PWROTHBOLXX01,30.0
GLOBAL,PWROTHBRAXX01,30.0
GLOBAL,PWROTHCHLXX01,30.0
GLOBAL,PWROTHCOLXX01,30.0
GLOBAL,PWROTHCRIXX01,30.0
GLOBAL,PWROTHDOMXX01,30.0
GLOBAL,PWROTHECUXX01,30.0
GLOBAL,PWROTHGTMXX01,30.0
GLOBAL,PWROTHHNDXX01,30.0
GLOBAL,PWROTHHTIXX01,30.0
GLOBAL,PWROTHJAMXX01,30.0
GLOBAL,PWROTHMEXXX01,30.0
GLOBAL,PWROTHNICXX01,30.0
GLOBAL,PWROTHPANXX01,30.0
GLOBAL,PWROTHPERXX01,30.0
GLOBAL,PWROTHPRYXX01,30.0
GLOBAL,PWROTHSLVXX01,30.0
GLOBAL,PWROTHURYXX01,30.0
GLOBAL,PWRPETARGXX01,30.0
GLOBAL,PWRPETBOLXX01,30.0
GLOBAL,PWRPETBRAXX01,30.0
GLOBAL,PWRPETCHLXX01,30.0
GLOBAL,PWRPETCOLXX01,30.0
GLOBAL,PWRPETCRIXX01,30.0
GLOBAL,PWRPETDOMXX01,30.0
GLOBAL,PWRPETECUXX01,30.0
GLOBAL,PWRPETGTMXX01,30.0
GLOBAL,PWRPETHNDXX01,30.0
GLOBAL,PWRPETHTIXX01,30.0
GLOBAL,PWRPETJAMXX01,30.0
GLOBAL,PWRPETMEXXX01,30.0
GLOBAL,PWRPETNICXX01,30.0
GLOBAL,PWRPETPANXX01,30.0
GLOBAL,PWRPETPERXX01,30.0
GLOBAL,PWRPETPRYXX01,30.0
GLOBAL,PWRPETSLVXX01,30.0
GLOBAL,PWRPETURYXX01,30.0
GLOBAL,PWRSDSARGXX01,30.0
GLOBAL,PWRSDSBOLXX01,30.0
GLOBAL,PWRSDSBRAXX01,30.0
GLOBAL,PWRSDSCHLXX01,30.0
GLOBAL,PWRSDSCOLXX01,30.0
GLOBAL,PWRSDSCRIXX01,30.0
GLOBAL,PWRSDSDOMXX01,30.0
GLOBAL,PWRSDSECUXX01,30.0
GLOBAL,PWRSDSGTMXX01,30.0
GLOBAL,PWRSDSHNDXX01,30.0
GLOBAL,PWRSDSHTIXX01,30.0
GLOBAL,PWRSDSJAMXX01,30.0
GLOBAL,PWRSDSMEXXX01,30.0
GLOBAL,PWRSDSNICXX01,30.0
GLOBAL,PWRSDSPANXX01,30.0
GLOBAL,PWRSDSPERXX01,30.0
GLOBAL,PWRSDSPRYXX01,30.0
GLOBAL,PWRSDSSLVXX01,30.0
GLOBAL,PWRSDSURYXX01,30.0
GLOBAL,PWRSPVARGXX01,30.0
GLOBAL,PWRSPVBOLXX01,30.0
GLOBAL,PWRSPVBRAXX01,30.0
GLOBAL,PWRSPVCHLXX01,30.0
GLOBAL,PWRSPVCOLXX01,30.0
GLOBAL,PWRSPVCRIXX01,30.0
GLOBAL,PWRSPVDOMXX01,30.0
