REGION,TECHNOLOGY,YEAR,VALUE
GLOBAL,PWRCCGCRIXX00,2021,0.0
GLOBAL,PWRCCGCRIXX00,2022,0.0
GLOBAL,PWRCCGCRIXX00,2023,0.0
GLOBAL,PWRCCGCRIXX00,2024,0.0
GLOBAL,PWRCCGCRIXX00,2025,0.0
GLOBAL,PWRCCGCRIXX00,2026,0.0
GLOBAL,PWRCCGCRIXX00,2027,0.0
GLOBAL,PWRCCGCRIXX00,2028,0.0
GLOBAL,PWRCCGCRIXX00,2029,0.0
GLOBAL,PWRCCGCRIXX00,2030,0.0
GLOBAL,PWRCCGCRIXX00,2031,0.0
GLOBAL,PWRCCGCRIXX00,2032,0.0
GLOBAL,PWRCCGCRIXX00,2033,0.0
GLOBAL,PWRCCGCRIXX00,2034,0.0
GLOBAL,PWRCCGCRIXX00,2035,0.0
GLOBAL,PWRCCGCRIXX00,2036,0.0
GLOBAL,PWRCCGCRIXX00,2037,0.0
GLOBAL,PWRCCGCRIXX00,2038,0.0
GLOBAL,PWRCCGCRIXX00,2039,0.0
GLOBAL,PWRCCGCRIXX00,2040,0.0
GLOBAL,PWRCCGCRIXX00,2041,0.0
GLOBAL,PWRCCGCRIXX00,2042,0.0
GLOBAL,PWRCCGCRIXX00,2043,0.0
GLOBAL,PWRCCGCRIXX00,2044,0.0
GLOBAL,PWRCCGCRIXX00,2045,0.0
GLOBAL,PWRCCGCRIXX00,2046,0.0
GLOBAL,PWRCCGCRIXX00,2047,0.0
GLOBAL,PWRCCGCRIXX00,2048,0.0
GLOBAL,PWRCCGCRIXX00,2049,0.0
GLOBAL,PWRCCGCRIXX00,2050,0.0
GLOBAL,PWROCGCRIXX00,2021,0.0
GLOBAL,PWROCGCRIXX00,2022,0.0
GLOBAL,PWROCGCRIXX00,2023,0.0
GLOBAL,PWROCGCRIXX00,2024,0.0
GLOBAL,PWROCGCRIXX00,2025,0.0
GLOBAL,PWROCGCRIXX00,2026,0.0
GLOBAL,PWROCGCRIXX00,2027,0.0
GLOBAL,PWROCGCRIXX00,2028,0.0
GLOBAL,PWROCGCRIXX00,2029,0.0
GLOBAL,PWROCGCRIXX00,2030,0.0
GLOBAL,PWROCGCRIXX00,2031,0.0
GLOBAL,PWROCGCRIXX00,2032,0.0
GLOBAL,PWROCGCRIXX00,2033,0.0
GLOBAL,PWROCGCRIXX00,2034,0.0
GLOBAL,PWROCGCRIXX00,2035,0.0
GLOBAL,PWROCGCRIXX00,2036,0.0
GLOBAL,PWROCGCRIXX00,2037,0.0
