REGION,TECHNOLOGY,VALUE
GLOBAL,PWRPETCRIXX01,30
GLOBAL,PWRCSPCRIXX01,30
GLOBAL,PWROCGCRIXX00,30
GLOBAL,PWRCOACRIXX01,30
GLOBAL,PWRCCSCRIXX01,30
GLOBAL,PWRWOFCRIXX01,30
GLOBAL,PWRWASCRIXX01,30
GLOBAL,PWRSPVCRIXX01,30
GLOBAL,PWRGEOCRIXX01,30
GLOBAL,PWRCOGCRIXX01,30
GLOBAL,PWRCCGCRIXX01,30
GLOBAL,PWRHYDCRIXX01,100
GLOBAL,PWRCCGCRIXX00,30
GLOBAL,PWRWONCRIXX01,30
GLOBAL,PWRWAVCRIXX01,20
GLOBAL,PWROILCRIXX01,30
GLOBAL,PWRURNCRIXX01,60
GLOBAL,PWROTHCRIXX01,30
GLOBAL,PWROCGCRIXX01,30
GLOBAL,PWRBIOCRIXX01,30
